,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
91,02M407,Institute for Collaborative Education,95,464,487,7.5,7.8,7.9,8.3
92,02M408,Professional Performing Arts High School,86,408,477,7.1,5.9,6.5,7.2
93,02M411,Baruch College Campus High School,85,372,438,7.8,7,7,7.8
94,02M412,N.Y.C. Lab School for Collaborative Studies,93,482,520,7.5,6.9,7,7.7
95,02M413,School of the Future High School,83,540,650,7.1,6.8,6.9,7.7
96,02M414,N.Y.C. Museum School,99,428,431,7.1,6.1,6.7,7.4
97,02M416,Eleanor Roosevelt High School,85,423,497,8.1,7,7.4,8.2
98,02M418,Millennium High School,95,596,630,7.5,6.9,6.8,7.9
99,02M419,Landmark High School,79,328,417,6.7,6.2,6.2,7
100,02M420,High School for Health Professions and Human Servi,93,1536,1643,6.5,5.5,6.1,7.1
101,02M422,Quest to Learn,84,108,128,6.8,7.1,6.8,7.5
102,02M425,Leadership and Public Service High School,63,378,601,6.1,5.4,6.1,6.9
103,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,95,82,86,7.7,6,7.3,7.6
104,02M429,Legacy School for Integrated Studies,77,244,317,6.1,5.8,6,7
105,02M432,MURRAY HILL ACADEMY,88,114,129,6.2,5.7,6.2,6.9
106,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,94,102,109,7,7,6.9,7.5
107,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,86,82,95,7.5,6.8,7.3,7.3
108,02M439,Manhattan Village Academy,99,425,431,7.6,6.4,6.9,7.9
109,02M440,Bayard Rustin Educational Complex,54,230,426,5.9,5.1,5.7,6.1
110,02M442,"Ballet Tech, NYC Public School for Dance",100,65,65,8.2,7.6,8.3,8.5
111,02M449,Vanguard High School,82,333,404,7,6.4,6.7,7.5
112,02M459,Manhattan International High School,93,295,316,7.8,6.8,6.9,7.6
113,02M460,Washington Irving High School,76,880,1158,6,5.7,6.1,6.9
114,02M473,Washington Irving Yabc,58,75,130,7.8,6.1,7.2,7.6
115,02M475,Stuyvesant High School,93,3039,3269,7.5,6.2,7,7.9
116,02M489,High School of Economics and Finance,91,702,772,6.6,5.7,6,7.1
117,02M500,Unity Center for Urban Technologies,86,185,216,7.9,7.4,7.3,7.9
118,02M519,Talent Unlimited High School,90,437,487,7,6.2,6.8,7.5
119,02M520,Murry Bergtraum High School for Business Careers,75,1669,2228,5.7,5.3,5.7,6.5
120,02M529,Jacqueline Kennedy Onassis High School,79,527,667,7.1,6,6.7,7.4
121,02M531,Repertory Company High School for Theatre Arts,93,194,208,5.9,5.6,5.7,6.5
122,02M542,Manhattan Bridges High School,94,480,511,7.2,6.2,6.7,7.5
123,02M543,New Design High School,80,321,402,7,6.3,6.8,7.4
124,02M544,Independence High School,30,108,360,9.2,9.3,9.5,9.5
125,02M545,High School for Dual Language and Asian Studies,0,,334,,,,
